iter	MAE
0	5.640129836
1	5.625493568
2	5.610902556
3	5.596316744
4	5.581915837
5	5.567546231
6	5.55336698
7	5.539202381
8	5.52501177
9	5.510920557
10	5.496921044
11	5.482974398
12	5.469173649
13	5.455439701
14	5.441806944
15	5.428324506
16	5.414806734
17	5.401368335
18	5.388080024
19	5.374809933
20	5.36152773
21	5.348278215
22	5.335104799
23	5.321953277
24	5.3091651
25	5.296450783
26	5.283729168
27	5.270831207
28	5.258176152
29	5.245757414
30	5.233166589
31	5.220753577
32	5.208356989
33	5.195729699
34	5.183227322
35	5.170759322
36	5.158500938
37	5.146370739
38	5.134203898
39	5.122101278
40	5.110374904
41	5.098457659
42	5.086524184
43	5.074664536
44	5.062996015
45	5.051237214
46	5.039788519
47	5.028258055
48	5.016687339
49	5.005206316
50	4.993984794
51	4.982753729
52	4.971483983
53	4.960257234
54	4.949253181
55	4.938323493
56	4.927384964
57	4.916444845
58	4.905591943
59	4.894758837
60	4.884058776
61	4.873297743
62	4.862554566
63	4.851753792
64	4.841171759
65	4.830649439
66	4.820062799
67	4.809642911
68	4.799175043
69	4.788619291
70	4.778306762
71	4.767959009
72	4.757738015
73	4.74745158
74	4.73731891
75	4.727271957
76	4.717223077
77	4.707195751
78	4.697185268
79	4.687231028
80	4.677529413
81	4.667630835
82	4.657950448
83	4.648159317
84	4.638362315
85	4.628668187
86	4.619051788
87	4.609305105
88	4.599826677
89	4.590136376
90	4.580618306
91	4.571275871
92	4.561821076
93	4.552351188
94	4.543003445
95	4.533690377
96	4.524355738
97	4.51514899
98	4.505932697
99	4.496911201
100	4.487657128
101	4.47838443
102	4.469390047
103	4.460404708
104	4.451379095
105	4.442418143
106	4.433498282
107	4.424386397
108	4.415302743
109	4.406345838
110	4.397276469
111	4.38844237
112	4.379597556
113	4.370873708
114	4.362064508
115	4.353499461
116	4.344709456
117	4.336050648
118	4.327251795
119	4.31858516
120	4.310146909
121	4.301712831
122	4.293064189
123	4.284699867
124	4.276041145
125	4.267549959
126	4.259415515
127	4.251009248
128	4.242741881
129	4.234343199
130	4.225981859
131	4.217774634
132	4.209518882
133	4.201089706
134	4.192770613
135	4.184670835
136	4.17674414
137	4.1686705
138	4.160505985
139	4.152606882
140	4.144476959
141	4.136538867
142	4.128276639
143	4.120246143
144	4.112307554
145	4.104192514
146	4.096039213
147	4.088263416
148	4.080354931
149	4.072485534
150	4.064450922
151	4.056658622
152	4.048872228
153	4.041261228
154	4.033258761
155	4.025662284
156	4.017971003
157	4.01028447
158	4.002745258
159	3.994955612
160	3.987158847
161	3.979413223
162	3.971550596
163	3.96377444
164	3.956054811
165	3.948417173
166	3.940979788
167	3.9333903
168	3.925958001
169	3.918252361
170	3.910543783
171	3.902878184
172	3.895511964
173	3.88802068
174	3.880530239
175	3.87291869
176	3.865289526
177	3.857664363
178	3.849948282
179	3.842497333
180	3.835039215
181	3.827820627
182	3.820481108
183	3.813146274
184	3.805707547
185	3.798267838
186	3.790716148
187	3.783201966
188	3.77559632
189	3.768118995
190	3.760845629
191	3.75327849
192	3.745783883
193	3.738423352
194	3.731131162
195	3.723962213
196	3.71691452
197	3.709724895
198	3.702608365
199	3.695338552
200	3.688151161
201	3.680829188
202	3.673930845
203	3.666865887
204	3.659572134
205	3.652563682
206	3.645483287
207	3.638303377
208	3.631083902
209	3.623817815
210	3.61659884
211	3.609436327
212	3.602368807
213	3.595480245
214	3.588511209
215	3.581899693
216	3.575082397
217	3.568051346
218	3.561193509
219	3.554432039
220	3.547731664
221	3.540965339
222	3.53411888
223	3.527198684
224	3.520482545
225	3.513832789
226	3.507028265
227	3.499972102
228	3.493520707
229	3.48664978
230	3.479710124
231	3.472881929
232	3.466178413
233	3.459438431
234	3.452580461
235	3.445908013
236	3.439293945
237	3.432601541
238	3.425786756
239	3.419168735
240	3.412864255
241	3.406295687
242	3.399516517
243	3.392931082
244	3.386708713
245	3.380198297
246	3.373891742
247	3.367272687
248	3.36078338
249	3.354164881
250	3.347675304
251	3.341002355
252	3.334758508
253	3.328038445
254	3.321787336
255	3.315192613
256	3.308747479
257	3.302163368
258	3.29581207
259	3.289355649
260	3.283036154
261	3.276495049
262	3.269998329
263	3.263719843
264	3.257390935
265	3.250940198
266	3.24455936
267	3.238104315
268	3.231737275
269	3.225275836
270	3.21888165
271	3.212545531
272	3.206268834
273	3.200121037
274	3.193966912
275	3.187697626
276	3.181693945
277	3.175522102
278	3.16933682
279	3.163311889
280	3.157174089
281	3.150978251
282	3.144948753
283	3.138991505
284	3.132927154
285	3.126897356
286	3.120671386
287	3.11462989
288	3.108613311
289	3.102441652
290	3.096372217
291	3.090574182
292	3.084555029
293	3.078961703
294	3.073076483
295	3.067212933
296	3.061532102
297	3.055730024
298	3.04979593
299	3.044008724
300	3.038059056
301	3.032218358
302	3.026478434
303	3.020694719
304	3.014982052
305	3.009192858
306	3.003552449
307	2.997712651
308	2.991981744
309	2.98617718
310	2.9804821
311	2.974797577
312	2.969185796
313	2.963528214
314	2.957935321
315	2.952248606
316	2.946807909
317	2.941213921
318	2.935708403
319	2.930315254
320	2.92482318
321	2.919382042
322	2.914059613
323	2.908628961
324	2.903263635
325	2.897850828
326	2.892458853
327	2.887163558
328	2.881874442
329	2.876561878
330	2.871272665
331	2.865904024
332	2.860656412
333	2.855396031
334	2.850202853
335	2.844949566
336	2.839830411
337	2.834620739
338	2.829534369
339	2.824430757
340	2.819348259
341	2.814489233
342	2.8095047
343	2.804418583
344	2.799385943
345	2.794342197
346	2.789386505
347	2.784453229
348	2.779466177
349	2.774464032
350	2.769406947
351	2.76441308
352	2.759408361
353	2.754428288
354	2.749392215
355	2.744357716
356	2.73946196
357	2.734509925
358	2.729789888
359	2.724913148
360	2.720000778
361	2.715090324
362	2.710137684
363	2.705345799
364	2.700599463
365	2.695824244
366	2.691048333
367	2.686261423
368	2.681474855
369	2.676763496
370	2.672046471
371	2.667366053
372	2.662683739
373	2.658010016
374	2.653383644
375	2.649000048
376	2.644454669
377	2.639980832
378	2.635470349
379	2.631000761
380	2.626638043
381	2.622121151
382	2.617696528
383	2.613349357
384	2.608953133
385	2.604570255
386	2.600192117
387	2.595816334
388	2.59162229
389	2.587345732
390	2.583177372
391	2.578983787
392	2.574741124
393	2.57070018
394	2.566576942
395	2.562457479
396	2.558469572
397	2.554371075
398	2.55028606
399	2.546184083
400	2.542300937
401	2.538446063
402	2.53438734
403	2.53042326
404	2.526499045
405	2.522600348
406	2.518856678
407	2.514945333
408	2.511143554
409	2.507276547
410	2.503361115
411	2.499683553
412	2.495975063
413	2.492214138
414	2.488519047
415	2.484866714
416	2.481116267
417	2.477375706
418	2.473719504
419	2.470066569
420	2.466335006
421	2.462653333
422	2.459002051
423	2.455388845
424	2.451843209
425	2.448339355
426	2.444820731
427	2.441399806
428	2.437904502
429	2.434604197
430	2.431123125
431	2.427689313
432	2.424479641
433	2.421215785
434	2.417797323
435	2.414316178
436	2.410938354
437	2.407530344
438	2.404250613
439	2.401063535
440	2.397772182
441	2.39440244
442	2.391179861
443	2.387833781
444	2.384517267
445	2.381256236
446	2.378034245
447	2.374825889
448	2.37158335
449	2.368373123
450	2.36519005
451	2.362065414
452	2.358915266
453	2.355734352
454	2.352614913
455	2.349729738
456	2.346679259
457	2.343554326
458	2.340537944
459	2.337475384
460	2.33451198
461	2.331493002
462	2.328527692
463	2.325566071
464	2.322666725
465	2.319885291
466	2.316920674
467	2.314009264
468	2.311255233
469	2.308469871
470	2.305733587
471	2.302968418
472	2.30011756
473	2.29734847
474	2.294631744
475	2.291991356
476	2.289300856
477	2.286602667
478	2.283809751
479	2.281096875
480	2.278498331
481	2.275860284
482	2.273148242
483	2.270597903
484	2.26804173
485	2.265500199
486	2.262896042
487	2.260395546
488	2.257934308
489	2.255453779
490	2.253042556
491	2.250622697
492	2.248302612
493	2.245732789
494	2.2435101
495	2.241105419
496	2.238683869
497	2.23625463
498	2.233984274
499	2.231676972
500	2.229379467
501	2.227108686
502	2.224922387
503	2.222700825
504	2.220454025
505	2.2182475
506	2.215991661
507	2.213771265
508	2.211625264
509	2.209622278
510	2.20744118
511	2.205315008
512	2.203169132
513	2.200966545
514	2.198848317
515	2.196766414
516	2.194700316
517	2.192694592
518	2.19065071
519	2.188577952
520	2.186682729
521	2.184652234
522	2.182674719
523	2.180617057
524	2.178611889
525	2.176580306
526	2.174688838
527	2.172788044
528	2.170823051
529	2.168918441
530	2.16690486
531	2.16494
532	2.163087749
533	2.161246314
534	2.159332458
535	2.15734946
536	2.155562956
537	2.153786747
538	2.152060321
539	2.150258569
540	2.148410101
541	2.146584921
542	2.144808923
543	2.14303194
544	2.141293445
545	2.139454537
546	2.137660558
547	2.135838531
548	2.134045721
549	2.132485561
550	2.130798601
551	2.129137908
552	2.127374741
553	2.125832493
554	2.124264218
555	2.122603215
556	2.121012439
557	2.11929221
558	2.117701391
559	2.116129171
560	2.114552094
561	2.112951947
562	2.111461157
563	2.109968031
564	2.108367038
565	2.106811833
566	2.105350473
567	2.103959513
568	2.102419866
569	2.101034706
570	2.099622452
571	2.098160736
572	2.096801475
573	2.095372046
574	2.093997232
575	2.092732976
576	2.091368107
577	2.0900341
578	2.088739391
579	2.08737898
580	2.08610373
581	2.084847395
582	2.083524801
583	2.082261839
584	2.081041326
585	2.079822725
586	2.078555319
587	2.077193881
588	2.076071713
589	2.07486557
590	2.073685511
591	2.072489651
592	2.071245647
593	2.070051934
594	2.068732388
595	2.067541784
596	2.066284038
597	2.065151589
598	2.063951806
599	2.062747368
600	2.061545341
601	2.060477513
602	2.05930582
603	2.058146078
604	2.056883769
605	2.055813254
606	2.05479937
607	2.053651684
608	2.052569087
609	2.05155541
610	2.05043878
611	2.049423794
612	2.048342466
613	2.047331707
614	2.046247327
615	2.045273441
616	2.044290852
617	2.043291479
618	2.042360349
619	2.041367412
620	2.040461433
621	2.039655477
622	2.038731251
623	2.037828578
624	2.036897138
625	2.035910282
626	2.035063953
627	2.034242514
628	2.033407752
629	2.032520765
630	2.031719508
631	2.030715332
632	2.029828981
633	2.028959554
634	2.02828831
635	2.027493102
636	2.026656196
637	2.025835235
638	2.024931191
639	2.024115199
640	2.023428489
641	2.022678537
642	2.021831902
643	2.02104466
644	2.020310156
645	2.019659805
646	2.018901973
647	2.018159203
648	2.017512842
649	2.016739499
650	2.016202246
651	2.015372133
652	2.014591452
653	2.013784465
654	2.01325601
655	2.012633
656	2.011958236
657	2.011274994
658	2.010652384
659	2.010081448
660	2.009471813
661	2.00876676
662	2.008114205
663	2.007497151
664	2.006916057
665	2.006307408
666	2.00575732
667	2.005201089
668	2.004506439
669	2.003921858
670	2.003355517
671	2.002785948
672	2.002194072
673	2.001703047
674	2.001112049
675	2.000646834
676	2.0000322
677	1.999531244
678	1.998997347
679	1.998538214
680	1.997958502
681	1.997487049
682	1.996983494
683	1.996497701
684	1.996032
685	1.995555208
686	1.995036572
687	1.994476051
688	1.993880275
689	1.99329665
690	1.992751668
691	1.992276793
692	1.991837692
693	1.991371743
694	1.990919498
695	1.990500914
696	1.989953189
697	1.989503115
698	1.988904403
699	1.988393685
700	1.988026035
701	1.987426676
702	1.98701136
703	1.986463645
704	1.985982563
705	1.985453161
706	1.985045145
707	1.984542568
708	1.984013847
709	1.983588243
710	1.983120505
711	1.982730051
712	1.982271634
713	1.981814616
714	1.981406311
715	1.980982285
716	1.980519772
717	1.980096496
718	1.979683799
719	1.979170155
720	1.978780165
721	1.978383291
722	1.978110933
723	1.977739014
724	1.97734567
725	1.976918688
726	1.976441966
727	1.976035372
728	1.97571492
729	1.975348837
730	1.975099543
731	1.974667123
732	1.974311456
733	1.974034703
734	1.973683721
735	1.973273283
736	1.972958837
737	1.972625314
738	1.972293412
739	1.971979592
740	1.971605328
741	1.9710701
742	1.970814064
743	1.970635351
744	1.970391447
745	1.970120196
746	1.969734124
747	1.969346147
748	1.968908171
749	1.968605408
750	1.968278954
751	1.967944301
752	1.967596689
753	1.967213465
754	1.966900054
755	1.966490108
756	1.966164445
757	1.965883018
758	1.965701823
759	1.965446165
760	1.965052975
761	1.964734494
762	1.964535425
763	1.964080182
764	1.963852972
765	1.963541188
766	1.963252175
767	1.962843018
768	1.96242808
769	1.962108173
770	1.961857711
771	1.961722666
772	1.961422408
773	1.961152159
774	1.96084986
775	1.960548601
776	1.960286413
777	1.960037922
778	1.959804176
779	1.959535054
780	1.959173369
781	1.95891891
782	1.958577168
783	1.958259251
784	1.95803431
785	1.957654876
786	1.957386775
787	1.957156673
788	1.95694442
789	1.956532264
790	1.956189875
791	1.955921356
792	1.955629049
793	1.955428813
794	1.955188588
795	1.954829307
796	1.954658926
797	1.954406961
798	1.954197727
799	1.953903746
800	1.95365367
801	1.953449913
802	1.953266511
803	1.952916091
804	1.952728684
805	1.952342609
806	1.952215887
807	1.952075849
808	1.951923859
809	1.951548364
810	1.951240722
811	1.951140678
812	1.950848119
813	1.950660922
814	1.950427463
815	1.950198951
816	1.949883419
817	1.949604915
818	1.94932302
819	1.949058341
820	1.948775918
821	1.948553905
822	1.948327328
823	1.947997318
824	1.947718235
825	1.947451936
826	1.947253745
827	1.947108562
828	1.946899249
829	1.946602316
830	1.946419498
831	1.946067716
832	1.945957677
833	1.945839299
834	1.945545738
835	1.945262162
836	1.945064343
837	1.944853368
838	1.944640505
839	1.944379146
840	1.944081857
841	1.943867707
842	1.943571072
843	1.943301029
844	1.943087029
845	1.942952752
846	1.942677301
847	1.94245183
848	1.942273316
849	1.942108552
850	1.941962511
851	1.941795739
852	1.941607312
853	1.941375596
854	1.941249836
855	1.94107697
856	1.940807134
857	1.940543893
858	1.940426636
859	1.94015831
860	1.939936442
861	1.939605946
862	1.939442407
863	1.939276661
864	1.939063691
865	1.938865742
866	1.938517082
867	1.93831128
868	1.938084062
869	1.937706279
870	1.937475002
871	1.937119272
872	1.936883448
873	1.936732643
874	1.936517027
875	1.936307319
876	1.93599325
877	1.935657609
878	1.935403074
879	1.935215669
880	1.935069159
881	1.934856322
882	1.934614384
883	1.93441617
884	1.934161913
885	1.933940766
886	1.933593071
887	1.933418562
888	1.933193616
889	1.933068485
890	1.932902292
891	1.932649404
892	1.932485195
893	1.932196071
894	1.932005569
895	1.931684425
896	1.931442952
897	1.931209968
898	1.931018365
899	1.930905765
900	1.93078171
901	1.930624823
902	1.930350955
903	1.930151267
904	1.929892293
905	1.929667906
906	1.929436025
907	1.929203389
908	1.929072959
909	1.928865096
910	1.928659273
911	1.928527204
912	1.92842321
913	1.928067065
914	1.927864615
915	1.927555311
916	1.927343976
917	1.927077045
918	1.926849205
919	1.92677835
920	1.92650506
921	1.926345315
922	1.926246255
923	1.926101445
924	1.925873742
925	1.92574343
926	1.925522674
927	1.925262829
928	1.92513862
929	1.924950947
930	1.924809473
931	1.924660039
932	1.924464652
933	1.924359442
934	1.924205338
935	1.923939176
936	1.923757072
937	1.923608762
938	1.923474396
939	1.923255138
940	1.923080809
941	1.923021054
942	1.922810043
943	1.922536606
944	1.922435486
945	1.922298344
946	1.922071254
947	1.921710029
948	1.921481508
949	1.92130312
950	1.921137214
951	1.920963172
952	1.920793753
953	1.920690995
954	1.920499624
955	1.920327195
956	1.920230027
957	1.920076907
958	1.919843426
959	1.919651702
960	1.919429489
961	1.919258773
962	1.919068314
963	1.918719688
964	1.918494932
965	1.918280352
966	1.918115184
967	1.917892792
968	1.917704487
969	1.917559904
970	1.917322717
971	1.917058499
972	1.916768917
973	1.916519869
974	1.916273882
975	1.916192426
976	1.916039543
977	1.915886267
978	1.915775136
979	1.915631397
980	1.915374764
981	1.915120978
982	1.914858495
983	1.914680221
984	1.914534238
985	1.914281092
986	1.914191903
987	1.914018833
988	1.913791149
