iter	Passed	Remaining
0	79	1596544
1	149	1490349
2	215	1434797
3	280	1401383
4	346	1385789
5	411	1371980
6	476	1360759
7	542	1354788
8	611	1358535
9	680	1359521
10	748	1360474
11	815	1358343
12	884	1360329
13	950	1356665
14	1016	1354197
15	1084	1354860
16	1155	1358242
17	1221	1355939
18	1286	1353401
19	1354	1353572
20	1422	1353008
21	1492	1354876
22	1558	1353812
23	1625	1353253
24	1700	1358594
25	1768	1358956
26	1835	1357637
27	1903	1357828
28	1976	1360822
29	2048	1363764
30	2117	1363791
31	2189	1366251
32	2265	1371047
33	2343	1376291
34	2421	1381542
35	2490	1381069
36	2561	1382235
37	2633	1383482
38	2707	1385636
39	2783	1389002
40	2858	1391469
41	2930	1392734
42	3001	1393049
43	3072	1393713
44	3150	1397197
45	3221	1397484
46	3291	1397446
47	3375	1402964
48	3449	1404526
49	3519	1404143
50	3592	1405121
51	3666	1406345
52	3738	1407165
53	3812	1408349
54	3884	1408578
55	3957	1409327
56	4031	1410533
57	4106	1411878
58	4182	1413651
59	4255	1414227
60	4326	1414360
61	4401	1415519
62	4478	1417323
63	4548	1416894
64	4622	1417784
65	4699	1419273
66	4770	1419267
67	4842	1419283
68	4917	1420470
69	4986	1419737
70	5060	1420532
71	5135	1421455
72	5208	1421780
73	5280	1421879
74	5360	1424127
75	5436	1425185
76	5509	1425541
77	5579	1425186
78	5655	1426215
79	5732	1427275
80	5805	1427660
81	5879	1428085
82	5951	1428084
83	6024	1428279
84	6094	1427820
85	6166	1427846
86	6241	1428520
87	6315	1429020
88	6386	1428730
89	6459	1428923
90	6531	1428915
91	6602	1428769
92	6678	1429595
93	6751	1429829
94	6824	1429830
95	6898	1430342
96	6971	1430516
97	7046	1430964
98	7120	1431353
99	7200	1432901
100	7271	1432553
101	7343	1432579
102	7423	1434033
103	7497	1434301
104	7573	1435003
105	7645	1434920
106	7719	1435166
107	7793	1435359
108	7864	1435211
109	7940	1435828
110	8017	1436664
111	8091	1436841
112	8160	1436170
113	8233	1436255
114	8307	1436474
115	8377	1436001
116	8450	1436012
117	8524	1436305
118	8603	1437352
119	8675	1437271
120	8751	1437714
121	8825	1437964
122	8895	1437573
123	8971	1438060
124	9048	1438633
125	9115	1437751
126	9184	1437270
127	9259	1437557
128	9331	1437373
129	9404	1437479
130	9478	1437636
131	9552	1437765
132	9625	1437787
133	9695	1437321
134	9767	1437239
135	9839	1437140
136	9919	1438250
137	9990	1437949
138	10058	1437145
139	10125	1436381
140	10193	1435709
141	10260	1434828
142	10330	1434442
143	10397	1433701
144	10465	1433004
145	10532	1432319
146	10596	1431146
147	10669	1431102
148	10736	1430396
149	10803	1429634
150	10871	1429080
151	10937	1428264
152	11006	1427694
153	11072	1426878
154	11148	1427370
155	11215	1426658
156	11279	1425557
157	11345	1424789
158	11412	1424153
159	11479	1423443
160	11543	1422488
161	11607	1421445
162	11673	1420621
163	11736	1419596
164	11804	1419055
165	11876	1419014
166	11945	1418618
167	12015	1418352
168	12082	1417838
169	12148	1417140
170	12215	1416470
171	12284	1416189
172	12351	1415512
173	12420	1415256
174	12486	1414563
175	12550	1413687
176	12619	1413301
177	12685	1412683
178	12754	1412311
179	12825	1412214
180	12891	1411544
181	12960	1411280
182	13034	1411551
183	13103	1411200
184	13171	1410732
185	13238	1410307
186	13308	1410007
187	13375	1409533
188	13442	1409074
189	13508	1408418
190	13575	1407982
191	13647	1407936
192	13712	1407231
193	13777	1406589
194	13841	1405781
195	13906	1405153
196	13974	1404746
197	14042	1404391
198	14111	1404160
199	14182	1404080
200	14251	1403762
201	14319	1403479
202	14389	1403250
203	14459	1403157
204	14532	1403312
205	14604	1403341
206	14677	1403462
207	14752	1403764
208	14824	1403743
209	14894	1403638
210	14961	1403189
211	15029	1402889
212	15098	1402617
213	15163	1402019
214	15231	1401689
215	15301	1401493
216	15371	1401398
217	15438	1400930
218	15510	1401008
219	15578	1400604
220	15642	1399994
221	15709	1399522
222	15776	1399138
223	15842	1398684
224	15907	1398082
225	15973	1397591
226	16038	1397044
227	16104	1396529
228	16171	1396204
229	16241	1396024
230	16308	1395652
231	16372	1395073
232	16440	1394748
233	16510	1394606
234	16576	1394221
235	16646	1394061
236	16715	1393856
237	16780	1393373
238	16849	1393112
239	16917	1392844
240	16982	1392352
241	17051	1392132
242	17118	1391781
243	17187	1391594
244	17253	1391177
245	17320	1390883
246	17386	1390445
247	17452	1390001
248	17520	1389779
249	17587	1389374
250	17656	1389257
251	17727	1389210
252	17796	1389032
253	17865	1388902
254	17934	1388720
255	18001	1388378
256	18067	1387938
257	18132	1387504
258	18204	1387526
259	18272	1387339
260	18339	1387019
261	18408	1386824
262	18474	1386431
263	18538	1385928
264	18603	1385470
265	18673	1385366
266	18740	1385040
267	18805	1384567
268	18875	1384528
269	18947	1384541
270	19017	1384461
271	19085	1384252
272	19151	1383882
273	19221	1383797
274	19288	1383503
275	19354	1383120
276	19419	1382708
277	19485	1382383
278	19550	1381891
279	19615	1381521
280	19681	1381110
281	19746	1380707
282	19812	1380340
283	19876	1379884
284	19943	1379602
285	20013	1379521
286	20085	1379611
287	20153	1379402
288	20224	1379412
289	20295	1379425
290	20360	1379016
291	20427	1378717
292	20490	1378205
293	20555	1377760
294	20620	1377404
295	20686	1377041
296	20749	1376543
297	20814	1376158
298	20883	1376023
299	20950	1375738
300	21016	1375426
301	21082	1375103
302	21149	1374834
303	21220	1374833
304	21293	1375028
305	21361	1374825
306	21430	1374670
307	21497	1374418
308	21562	1374079
309	21638	1374380
310	21710	1374466
311	21777	1374219
312	21844	1373984
313	21910	1373672
314	21975	1373265
315	22040	1372896
316	22103	1372457
317	22170	1372227
318	22235	1371829
319	22304	1371739
320	22370	1371453
321	22442	1371485
322	22510	1371350
323	22579	1371186
324	22646	1371002
325	22711	1370643
326	22778	1370425
327	22848	1370351
328	22919	1370372
329	22987	1370174
330	23051	1369801
331	23118	1369533
332	23183	1369200
333	23249	1368926
334	23316	1368688
335	23384	1368520
336	23450	1368258
337	23517	1368077
338	23584	1367826
339	23654	1367760
340	23723	1367674
341	23790	1367466
342	23856	1367172
343	23923	1366988
344	23990	1366776
345	24055	1366455
346	24132	1366768
347	24207	1367000
348	24281	1367185
349	24353	1367277
350	24427	1367461
351	24496	1367357
352	24566	1367278
353	24634	1367170
